label	chr	pos1	pos2	type	elem	id	flank_side	elements	strand	ENdb_id	jiang_TEs	jiang_SEs	tonekaboni_COREs_h1	barakat_naive_CSS_RPP	barakat_primed_CSS_RPP	barakat_naive_SE	barakat_primed_SE	kunarso_CTCF_peaks	kunarso_NANOG_peaks	kunarso_OCT4_peaks	HACER_GRO_seq	lu_active_RNAseq	wang_id	wang_state	zhang_RNAseq_rank	goke_id	goke_stage	carter_ltr_subfamily	ATAC_seq_peaks	H1_ChromHMM	H1_CIS	endo_ChromHMM	endo_CIS
flanked:LTR7Y_LTR7_HERVH-int:2051	chr5	136540942	136552022	flanked	LTR7Y_LTR7_HERVH-int	2051	NA	13	-	NA	TE_00_01201736, TE_00_01700541, TE_00_01904667, TE_00_02412590, TE_01_03610940, TE_02_01707180, TE_02_04019822, TE_02_06409834, TE_02_08201235, TE_02_08301242, TE_02_12507358, TE_02_17817886, TE_02_19907534, TE_02_24111238, TE_02_32807948, TE_00_01302799, TE_02_03602896, TE_02_03828590, TE_02_04202437, TE_02_06507729, TE_02_08400957, TE_02_08501496, TE_02_09400639, TE_02_12405406, TE_02_24001889, TE_02_24200343, TE_02_35403223	Sample_02_021, Sample_02_204, Sample_02_236, Sample_02_358	NA	NA	1000	NA	NA	NA	4	1	GSE41009_10543, GSE64758_1313, GSE64758_1312	NA	HERVH_479	moderately	663, 460	105827	hescp0, hescp10	7up1	NA	Het	cont_Low_TssBiv	NA	NA
flanked:LTR7Y_LTR7_HERVH-int:2099	chr6	114422300	114428297	flanked	LTR7Y_LTR7_HERVH-int	2099	NA	11	-	NA	TE_00_01302505, TE_00_02406789, TE_02_03815355, TE_02_06602015, TE_02_08510165, TE_02_23605642, TE_02_24008186, TE_02_24215202, TE_02_32805167, TE_02_41805504, TE_00_01801345, TE_00_01902295, TE_01_03301006, TE_02_01703359, TE_02_02110979, TE_02_04001462, TE_02_04200288, TE_02_06400732, TE_02_06500253, TE_02_06700856, TE_02_09401127, TE_02_12402242, TE_02_12500667	Sample_01_021, Sample_00_012, Sample_01_031, Sample_02_036	NA	237, 366, 175	659, 161, 166	NA	NA	NA	2	1	E-MTAB-742_168, GSE41009_11415, GSE64758_1415	active	HERVH_535	highly	13	105923, 350434, 105924	hescp0, hescp10	7up1	NA	EnhA2, TxWk, TssFlnk, TssA	cont_EnhA, cont_TxWk_Enh, cont_Tss_noEnh, cont_Tss_EnhG	NA	NA
flanked:LTR7Y_LTR7_HERVH-int:2115	chr6	131504326	131509186	flanked	LTR7Y_LTR7_HERVH-int	2115	NA	9	-	NA	TE_01_03102785, TE_02_03606200, TE_02_04204421, TE_02_06405932, TE_02_12413963, TE_02_28419880, TE_02_04302143	Sample_02_038	NA	324	270	NA	NA	NA	1	NA	GSE41009_11505, GSE64758_1430	NA	HERVH_552	moderately	353	NA	NA	NA	1	TxWk	cont_TxWk_EnhWk	NA	NA
flanked:LTR7Y_LTR7_HERVH-int:2321	chrX	100786617	100791864	flanked	LTR7Y_LTR7_HERVH-int	2321	NA	7	-	NA	TE_02_04313719, TE_02_17616160, TE_02_28810417, TE_02_41803069	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_14612	NA	HERVH_1172	inactive	1292	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:1658	chr19	9635996	9642215	flanked	LTR7Y_LTR7B_HERVH-int	1658	NA	5	-	NA	TE_02_20003016, TE_02_37508180, TE_02_40311161, TE_02_03900290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_1063	inactive	560	NA	NA	NA	NA	Tx, TxWk, ZNF-Rpts	cont_Tx_EnhG1, cont_Tx_EnhG2	TxWk, ZNF-Rpts, Het	cont_Het_Rpts
flanked:LTR7Y_LTR7B_HERVH-int:1859	chr3	98243921	98249844	flanked	LTR7Y_LTR7B_HERVH-int	1859	NA	5	+	NA	TE_02_16414608, TE_02_16514850, TE_02_20001476, TE_02_06927891	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_9256	NA	HERVH_254	inactive	1235	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:1862	chr3	107569408	107571817	flanked	LTR7Y_LTR7B_HERVH-int	1862	NA	4	-	NA	TE_02_42610316, TE_02_42713308, TE_02_13900033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_257	inactive	744	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:1869	chr3	128959817	128969350	flanked	LTR7Y_LTR7B_HERVH-int	1869	NA	9	+	NA	TE_00_00303004, TE_00_01117694, TE_00_03110273, TE_01_03712955, TE_01_04607341, TE_02_09910925, TE_02_12403930, TE_02_19906387, TE_02_20306012, TE_02_23605828, TE_02_23710775, TE_02_24105886, TE_02_24216608, TE_02_10504537, TE_02_14402625	NA	NA	150	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_266	moderately	261	107345, 105468, 618565, 618566, 105467	8cell, EpiVsHesc, morul	NA	1	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:2048	chr5	131571879	131582180	flanked	LTR7Y_LTR7B_HERVH-int	2048	NA	6	+	NA	TE_02_37404519, TE_01_05205369, TE_01_08410974, TE_02_10401972, TE_02_10607665, TE_02_20003769, TE_02_39630126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_476	inactive	840, 976	NA	NA	NA	NA	TxWk, ZNF-Rpts, Het	cont_Tx_EnhG2, cont_Het_Rpts	Het, ZNF-Rpts	cont_Het_Rpts
flanked:LTR7Y_LTR7B_HERVH-int:2065	chr5	180415687	180421731	flanked	LTR7Y_LTR7B_HERVH-int	2065	NA	7	-	NA	TE_02_24014419, TE_02_12403752	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_10839, GSE64758_1349	NA	HERVH_495	moderately	324	105845, 618612	8cell, EpiVsHesc, morul	NA	NA	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:2126	chr6	153922729	153927203	flanked	LTR7Y_LTR7B_HERVH-int	2126	NA	8	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_11636	NA	HERVH_564	moderately	274	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:2329	chrX	113176130	113180558	flanked	LTR7Y_LTR7B_HERVH-int	2329	NA	8	-	NA	TE_02_09508663	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_14672, GSE64758_1828	NA	HERVH_1181	inactive	439	NA	NA	NA	NA	NA	NA	NA	NA
flanked:LTR7Y_LTR7B_HERVH-int:2351	chrX	149315605	149320415	flanked	LTR7Y_LTR7B_HERVH-int	2351	NA	6	+	NA	TE_02_03819374, TE_02_18504730, TE_02_35905794	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_14944	NA	HERVH_1206	inactive	851	NA	NA	NA	NA	ZNF-Rpts, Het	cont_Het_Rpts	NA	NA
flanked:LTR7Y_LTR7C_HERVH-int:1379	chr1	221947780	221971633	flanked	LTR7Y_LTR7C_HERVH-int	1379	NA	12	+	NA	TE_02_05615707, TE_02_07204767, TE_00_01117446, TE_00_01411449, TE_01_00614343, TE_01_01808235, TE_01_02409424, TE_01_02501856, TE_01_02711319, TE_01_03719510, TE_01_03906173, TE_01_04201742, TE_01_04314204, TE_01_04400574, TE_01_05403920, TE_01_06302728, TE_01_06604171, TE_01_08210278, TE_02_00704141, TE_02_00802589, TE_02_00902253, TE_02_01005777, TE_02_01106120, TE_02_01202331, TE_02_01303677, TE_02_01507184, TE_02_03109214, TE_02_05401772, TE_02_05501348, TE_02_06926537, TE_02_07404131, TE_02_08304226, TE_02_08402500, TE_02_08503311, TE_02_08908947, TE_02_09205196, TE_02_09308594, TE_02_09711211, TE_02_09907498, TE_02_10109879, TE_02_10516222, TE_02_10716785, TE_02_10804244, TE_02_11104005, TE_02_11303523, TE_02_12609704, TE_02_12706750, TE_02_13109694, TE_02_13213059, TE_02_14404662, TE_02_15110012, TE_02_16005523, TE_02_16403164, TE_02_16501169, TE_02_17112839, TE_02_17222258, TE_02_17310664, TE_02_17508588, TE_02_17907296, TE_02_18009996, TE_02_18103280, TE_02_18212522, TE_02_18301117, TE_02_18400184, TE_02_18500507, TE_02_19200358, TE_02_19500636, TE_02_19903431, TE_02_20100379, TE_02_20401437, TE_02_20905323, TE_02_21007816, TE_02_21115952, TE_02_22106751, TE_02_22203425, TE_02_22304229, TE_02_22402907, TE_02_22505089, TE_02_22700638, TE_02_23109920, TE_02_23212782, TE_02_23606238, TE_02_24708119, TE_02_25508453, TE_02_25606253, TE_02_25807225, TE_02_25908032, TE_02_26006217, TE_02_26114694, TE_02_26212103, TE_02_26404036, TE_02_26701675, TE_02_26802841, TE_02_27007798, TE_02_27405935, TE_02_28001536, TE_02_28102142, TE_02_29505852, TE_02_30103382, TE_02_31114354, TE_02_31707995, TE_02_32115363, TE_02_32510053, TE_02_32612405, TE_02_32707992, TE_02_33412620, TE_02_33704878, TE_02_34205063, TE_02_34304754, TE_02_34507377, TE_02_34601259, TE_02_35900984, TE_02_36302269, TE_02_39903416, TE_02_40004070, TE_02_40106818, TE_02_40203159, TE_02_40605581, TE_02_41902356, TE_02_42314027, TE_02_42606230, TE_02_43110293, TE_02_43308813, TE_03_00302254, TE_03_00410947, TE_03_00506612, TE_03_00908141, TE_03_01007166, TE_03_01315400, TE_03_01510517, TE_01_03100902, TE_02_03608212, TE_02_06600110, TE_02_06700277, TE_00_02401530, TE_01_03405234, TE_01_03605752, TE_01_05802215, TE_01_05900027, TE_02_00501030, TE_02_04301100, TE_02_05702212, TE_02_06400116, TE_02_11200128, TE_02_11600599, TE_02_12501841, TE_02_15000249, TE_02_17704104, TE_02_19801439, TE_02_20300530, TE_02_23705562, TE_02_24001475, TE_02_24205262, TE_02_26502704, TE_02_28609606, TE_02_30501148, TE_02_31600410, TE_02_32801272, TE_02_35400649, TE_02_35801869, TE_02_39800440, TE_02_42800424, TE_02_42900810, TE_02_43000729, TE_03_00101098	Sample_02_176, Sample_01_045, Sample_02_021, Sample_02_038, Sample_02_065, Sample_02_080, Sample_02_086, Sample_02_124, Sample_02_166, Sample_02_167	NA	210, 399	220, 1000	present	NA	NA	1	2	E-MTAB-742_16, GSE41009_585, GSE64758_83	NA	HERVH_80, HERVH_81	inactive, highly	1167, 125	104687	hescp10	NA	1	ZNF-Rpts, TxWk, EnhWk	cont_Low_TssBiv, cont_TxWk_EnhWk, cont_Low_EnhWk	NA	NA
nonflanked:LTR7_HERVH-int:2369:3prime	chr10	118893656	118900344	nonflanked	LTR7_HERVH-int	2369	3prime	6	+	NA	TE_01_05910683, TE_02_04003717	NA	h1_COREs_580	148	NA	NA	NA	NA	NA	NA	GSE41009_1317	NA	HERVH_780	inactive	1174, 1175	NA	NA	NA	NA	Het	cont_Low_TssBiv	NA	NA
nonflanked:LTR7_HERVH-int:2372:3prime	chr10	58094094	58094879	nonflanked	LTR7_HERVH-int	2372	3prime	2	-	NA	TE_02_32107181	Sample_02_394	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1715	NA	HERVH_756	inactive	1176	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2373:3prime	chr10	79963907	79968032	nonflanked	LTR7_HERVH-int	2373	3prime	3	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_759	inactive	814	NA	NA	NA	NA	Het	cont_TxWk_EnhWk	NA	NA
nonflanked:LTR7_HERVH-int:2374:3prime	chr10	86864086	86865600	nonflanked	LTR7_HERVH-int	2374	3prime	2	+	NA	TE_00_01118607, TE_00_01700179, TE_01_02109795, TE_01_07220845, TE_01_07309362, TE_01_07409829, TE_01_08110702, TE_02_08410352, TE_02_13301387, TE_02_20302955, TE_02_32901129, TE_00_00303988, TE_00_01001960, TE_00_01601710, TE_00_02209449, TE_00_03805050, TE_00_04314546, TE_01_01906829, TE_01_02906995, TE_01_07005192, TE_01_07709228, TE_01_08309238, TE_01_08605241, TE_01_08700547, TE_01_08812845, TE_02_01700713, TE_02_03800079, TE_02_03904556, TE_02_04008781, TE_02_04301712, TE_02_04609285, TE_02_05410089, TE_02_10710643, TE_02_11011887, TE_02_11110126, TE_02_12400851, TE_02_17705754, TE_02_20908017, TE_02_21004390, TE_02_21103826, TE_02_24403356, TE_02_26508666, TE_02_28205556, TE_02_28903883, TE_02_29106467, TE_02_29202049, TE_02_30107212, TE_02_31005175, TE_02_31214692, TE_02_31710085, TE_02_33006211, TE_02_39701836, TE_02_40703867, TE_02_17111499, TE_02_17209259	Sample_00_012, Sample_00_013, Sample_00_018, Sample_00_019, Sample_00_024, Sample_01_031, Sample_01_033, Sample_02_036, Sample_02_042, Sample_02_064, Sample_02_066, Sample_02_067, Sample_02_125, Sample_02_328, Sample_02_418, Sample_01_023, Sample_02_065, Sample_02_381, Sample_02_382	NA	315, 897	805, 1000	present	present	NA	1	1	NA	NA	HERVH_762	moderately	815	104772	hescp0	NA	1	EnhA2, EnhA1	cont_EnhA	EnhA2, TxWk	cont_Low_EnhWk, cont_EnhA
nonflanked:LTR7_HERVH-int:2376:5prime	chr1	109727173	109727604	nonflanked	LTR7_HERVH-int	2376	5prime	2	-	NA	TE_02_07900302, TE_02_19302170, TE_02_20302413, TE_02_32201251, TE_00_02005836, TE_01_06403962, TE_02_05200140, TE_02_09606122, TE_02_11400613, TE_02_11502772, TE_02_15002321, TE_02_16811055, TE_02_17700159, TE_02_20701908, TE_02_20800215, TE_02_24600093, TE_02_26709212, TE_02_28403494, TE_02_35505888, TE_02_39700513, TE_02_40402292, TE_02_43101175, TE_01_08503935, TE_02_39400283, TE_02_40300080	Sample_02_051, Sample_02_202, Sample_02_408, Sample_02_409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_49	inactive	991	NA	NA	NA	NA	ZNF-Rpts, ReprPCWk	cont_Het_Rpts, cont_TxWk_EnhWk	Het	cont_Low_TssBiv
nonflanked:LTR7_HERVH-int:2377:3prime	chr11	111052088	111056109	nonflanked	LTR7_HERVH-int	2377	3prime	6	+	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_1971	NA	HERVH_829	inactive	1008	104860	4cell	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2379:3prime	chr11	118717033	118721014	nonflanked	LTR7_HERVH-int	2379	3prime	7	-	E_01_253	TE_00_02401087, TE_02_03801536, TE_02_04000425, TE_02_06503881, TE_02_06600536, TE_02_06701757, TE_02_32900602, TE_02_37005159, TE_02_37801631, TE_02_11619214, TE_02_20001143, TE_02_01700267, TE_02_04300085, TE_02_06400669, TE_02_08610569, TE_02_12400290, TE_02_12501346, TE_02_22700710, TE_02_32800640	Sample_01_031, Sample_01_033, Sample_02_036, Sample_02_042, Sample_02_418	NA	162, 143	322, 261, 477	present	present	NA	1	NA	GSE64758_283	NA	HERVH_831	highly	189	349062	8cell	7d1	NA	EnhA2, TssFlnkU, TssFlnk, TssA	cont_Tx_EnhG2, cont_Tss_noEnh	NA	NA
nonflanked:LTR7_HERVH-int:2380:5prime	chr11	118730174	118731855	nonflanked	LTR7_HERVH-int	2380	5prime	2	-	NA	TE_02_12400290	Sample_02_418	NA	NA	NA	present	present	NA	NA	NA	NA	NA	HERVH_831	highly	505	NA	NA	7d1	NA	Het, ZNF-Rpts	cont_Tx_EnhG2	NA	NA
nonflanked:LTR7_HERVH-int:2381:5prime	chr11	127543107	127548460	nonflanked	LTR7_HERVH-int	2381	5prime	5	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2088, GSE64758_296	NA	HERVH_836	inactive	1135	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2382:3prime	chr1	114029671	114037525	nonflanked	LTR7_HERVH-int	2382	3prime	5	+	NA	TE_02_04410061, TE_02_04502785, TE_02_12400532, TE_02_16614698, TE_02_16713390, TE_02_16810934, TE_02_16905624, TE_02_17009540, TE_02_21801169, TE_02_24406751, TE_02_32900345, TE_02_37605204, TE_02_39407708, TE_02_41705109, TE_00_01600044, TE_01_03703582, TE_01_04515836, TE_01_04612116, TE_01_05801984, TE_01_05902569, TE_01_06306463, TE_01_07604447, TE_02_03804210, TE_02_03901963, TE_02_05101088, TE_02_05200750, TE_02_05410182, TE_02_05510209, TE_02_06806743, TE_02_08805108, TE_02_09208398, TE_02_09608582, TE_02_11214494, TE_02_15702814, TE_02_16003035, TE_02_16102911, TE_02_17125292, TE_02_17230096, TE_02_17305076, TE_02_17511574, TE_02_18304777, TE_02_20912272, TE_02_22907031, TE_02_26411269, TE_02_26511415, TE_02_29506489, TE_02_30114392, TE_02_31115005, TE_02_32209497, TE_02_32800037, TE_02_33007586, TE_02_39509178, TE_02_39802944, TE_02_41908883, TE_02_42000825	Sample_00_017, Sample_00_012, Sample_00_013, Sample_00_018, Sample_00_019, Sample_00_024, Sample_01_031, Sample_01_033, Sample_02_003, Sample_02_017, Sample_02_036, Sample_02_040, Sample_02_042, Sample_02_064, Sample_02_065, Sample_02_066, Sample_02_067, Sample_02_125, Sample_02_418	NA	193, 473	209, 805	present	NA	1	2	2	E-MTAB-742_2, GSE41009_85, GSE64758_7	NA	HERVH_51	moderately	110	NA	NA	7up2	4	TxWk, EnhWk, EnhA1, TssFlnkU, TssFlnkD, TssA, TssFlnk, EnhA2	cont_TxWk_Enh, cont_EnhA_EnhWk, cont_Tss_Enh, cont_Tss_EnhG, cont_EnhA	TssA, TssFlnkU, TssFlnk, EnhA2	cont_Low_TssBiv, cont_Tss_EnhG
nonflanked:LTR7_HERVH-int:2383:3prime	chr1	120955898	120957584	nonflanked	LTR7_HERVH-int	2383	3prime	4	-	NA	NA	NA	NA	184	1000	NA	NA	NA	1	NA	NA	NA	HERVH_55, HERVH_56, HERVH_57	inactive	558, 948, 1164	NA	NA	NA	2	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2385:3prime	chr11	25486494	25490964	nonflanked	LTR7_HERVH-int	2385	3prime	5	-	NA	TE_00_02411655, TE_02_03804290, TE_02_04009440, TE_02_04311333	NA	NA	NA	394	NA	NA	NA	NA	NA	GSE41009_2202, GSE64758_309	NA	HERVH_796	inactive	590	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2386:3prime	chr1	12713469	12714137	nonflanked	LTR7_HERVH-int	2386	3prime	2	+	NA	TE_02_09404190, TE_02_41703006, TE_02_41804088, TE_02_06902858, TE_02_26101473, TE_02_26200309, TE_00_02400262, TE_00_03104495, TE_02_06401321, TE_02_06501159, TE_02_06601522, TE_02_06700392, TE_02_12401064, TE_02_17703354, TE_02_32803673, TE_02_32901259	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	HERVH_4	moderately	673	NA	NA	NA	NA	EnhA1, EnhWk	cont_EnhA_EnhWk	NA	NA
nonflanked:LTR7_HERVH-int:2387:3prime	chr11	29705753	29707328	nonflanked	LTR7_HERVH-int	2387	3prime	3	-	NA	TE_02_36301482	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2221	NA	HERVH_798	inactive	1010	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2390:3prime	chr1	173123828	173124857	nonflanked	LTR7_HERVH-int	2390	3prime	3	+	NA	TE_00_00311626, TE_00_00510862, TE_00_00607343, TE_00_01104894, TE_00_01204205, TE_00_01304098, TE_00_01404691, TE_00_01502916, TE_00_01805083, TE_00_02002156, TE_00_02112351, TE_00_02209031, TE_00_02307946, TE_00_02411985, TE_00_02510392, TE_00_02610940, TE_00_03109150, TE_00_03209040, TE_00_03309431, TE_00_03411243, TE_00_03509504, TE_00_03602585, TE_00_03813676, TE_00_03909243, TE_00_04008735, TE_00_04102890, TE_00_04206971, TE_00_04305735, TE_00_04509055, TE_01_00202396, TE_01_00613307, TE_01_01211053, TE_01_01703804, TE_01_01810311, TE_01_02901581, TE_01_03305062, TE_01_03604198, TE_01_03703081, TE_01_03801679, TE_01_04617583, TE_01_05509033, TE_01_05610515, TE_01_05709033, TE_01_06311040, TE_01_06410757, TE_01_06908120, TE_01_07011968, TE_01_07206957, TE_01_07309490, TE_01_07406734, TE_01_07505353, TE_01_07613129, TE_01_07706774, TE_01_07808127, TE_01_07906258, TE_01_08005640, TE_01_08109835, TE_01_08205274, TE_01_08306484, TE_01_08411163, TE_01_08613798, TE_01_08712783, TE_01_08810201, TE_01_08908130, TE_01_09006004, TE_01_09110261, TE_01_09207198, TE_02_00511351, TE_02_01013957, TE_02_01107461, TE_02_01309356, TE_02_01502695, TE_02_02114886, TE_02_03317499, TE_02_03606124, TE_02_03816908, TE_02_03908538, TE_02_04019653, TE_02_04607848, TE_02_04801495, TE_02_04900227, TE_02_05611133, TE_02_06806671, TE_02_08002984, TE_02_08106956, TE_02_08203516, TE_02_08508279, TE_02_09002672, TE_02_09105145, TE_02_09203080, TE_02_09305264, TE_02_09506534, TE_02_09609322, TE_02_09910418, TE_02_10005367, TE_02_10106907, TE_02_10203577, TE_02_10305724, TE_02_10808294, TE_02_11409818, TE_02_11606287, TE_02_12207816, TE_02_12412381, TE_02_13900975, TE_02_14004624, TE_02_14409311, TE_02_15005775, TE_02_15104899, TE_02_15804571, TE_02_16610295, TE_02_16708951, TE_02_16814526, TE_02_18314672, TE_02_18509511, TE_02_18801507, TE_02_19305756, TE_02_19403833, TE_02_19804686, TE_02_20000215, TE_02_20501872, TE_02_20602727, TE_02_21006438, TE_02_21114272, TE_02_22002567, TE_02_22809107, TE_02_22901889, TE_02_23211517, TE_02_23602614, TE_02_23704934, TE_02_24104344, TE_02_24208984, TE_02_24304020, TE_02_24410873, TE_02_25608674, TE_02_25703595, TE_02_26108753, TE_02_26206426, TE_02_26305372, TE_02_26403766, TE_02_26509703, TE_02_26818211, TE_02_27407097, TE_02_28203955, TE_02_28407817, TE_02_29406344, TE_02_30113397, TE_02_30515676, TE_02_31005116, TE_02_31111020, TE_02_31214571, TE_02_31408494, TE_02_31610531, TE_02_31906716, TE_02_32502007, TE_02_32602957, TE_02_32704438, TE_02_32901311, TE_02_33105726, TE_02_33207620, TE_02_33306786, TE_02_33407818, TE_02_33506721, TE_02_33706631, TE_02_33903487, TE_02_34111928, TE_02_34308559, TE_02_35304154, TE_02_36105483, TE_02_36207981, TE_02_36305821, TE_02_36404351, TE_02_36605901, TE_02_36711532, TE_02_36903758, TE_02_37011940, TE_02_37109221, TE_02_37903759, TE_02_39504303, TE_02_39809027, TE_02_40209451, TE_02_41503493, TE_02_42005833, TE_03_00510869, TE_03_00811256, TE_03_01011586, TE_03_01316808, TE_03_01410524, TE_01_02004637, TE_01_02403057, TE_01_02702214, TE_01_04104076, TE_01_04505371, TE_01_05401179, TE_01_06608462, TE_01_08503962, TE_02_02705142, TE_02_02804921, TE_02_05403981, TE_02_05504370, TE_02_05705508, TE_02_06312586, TE_02_06904705, TE_02_08603842, TE_02_08802962, TE_02_09703020, TE_02_10516575, TE_02_10705701, TE_02_11007876, TE_02_12304381, TE_02_13300315, TE_02_17109091, TE_02_17205036, TE_02_17301585, TE_02_17501972, TE_02_17704897, TE_02_17806197, TE_02_18100108, TE_02_20200706, TE_02_20700346, TE_02_20800044, TE_02_20901765, TE_02_28500389, TE_02_28601217, TE_02_28904641, TE_02_29001742, TE_02_31707728, TE_02_32200815, TE_02_34206666, TE_02_35403202, TE_02_35904044, TE_02_38701349, TE_02_39611541, TE_02_42302646, TE_02_42801550, TE_03_00101552	Sample_02_180, Sample_02_204, Sample_02_087	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_343	NA	HERVH_60	inactive	949	NA	NA	NA	NA	EnhA1, TxWk	cont_Low_TssBiv, cont_Low_EnhWk	EnhA2	cont_Low_TssBiv
nonflanked:LTR7_HERVH-int:2391:3prime	chr1	186902305	186902886	nonflanked	LTR7_HERVH-int	2391	3prime	2	+	NA	TE_01_09207577, TE_02_33604175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_64	inactive	1165	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2392:3prime	chr1	20041280	20045782	nonflanked	LTR7_HERVH-int	2392	3prime	3	-	NA	NA	Sample_01_081	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_6	inactive	1166	NA	NA	NA	NA	Het	cont_Low_EnhWk	NA	NA
nonflanked:LTR7_HERVH-int:2397:3prime	chr12	17720251	17725012	nonflanked	LTR7_HERVH-int	2397	3prime	7	-	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_2817, GSE64758_363	NA	HERVH_856	inactive	819	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2398:5prime	chr1	218593627	218594309	nonflanked	LTR7_HERVH-int	2398	5prime	2	+	NA	TE_01_03604008, TE_02_02101000, TE_02_07601830, TE_02_11005716, TE_02_15002615, TE_02_15100374, TE_02_16601833, TE_02_16701086, TE_02_17801652, TE_02_28001250, TE_02_28907708, TE_02_00207732, TE_02_00803190, TE_02_01105512, TE_02_05700706, TE_02_08601670, TE_02_09904604, TE_02_10510580, TE_02_11100428, TE_02_17215199, TE_02_17701441, TE_02_19200150, TE_02_26701891, TE_02_30102920, TE_02_31603932, TE_02_31700611, TE_02_31805497, TE_02_35803617, TE_02_39628434, TE_02_39800081	Sample_01_058, Sample_02_116, Sample_02_305, Sample_01_057	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_562	NA	HERVH_79	moderately	126	NA	NA	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2399:5prime	chr1	218594309	218600065	nonflanked	LTR7_HERVH-int	2399	5prime	7	-	NA	TE_02_12404798, TE_02_42710237, TE_02_00207732, TE_02_00803190, TE_02_01105512, TE_02_05700706, TE_02_08601670, TE_02_09904604, TE_02_10510580, TE_02_17215199, TE_02_19200150, TE_02_26701891, TE_02_30102920, TE_02_31603932, TE_02_31700611, TE_02_31805497, TE_02_35803617, TE_02_39628434, TE_02_39800081	Sample_02_116, Sample_01_057	NA	NA	NA	NA	NA	NA	NA	NA	GSE41009_562	NA	HERVH_79	moderately	126	104744	hescp0	NA	NA	NA	NA	NA	NA
nonflanked:LTR7_HERVH-int:2400:5prime	chr12	20817907	20822617	nonflanked	LTR7_HERVH-int	2400	5prime	6	-	NA	TE_01_03407070, TE_01_03609826, TE_02_08508724, TE_02_11617056, TE_02_14102506, TE_02_19200284, TE_02_20400716, TE_02_29304817, TE_02_35204824, TE_02_35412668, TE_02_41502573, TE_01_00603517, TE_01_01203986, TE_01_05808217, TE_02_02101796, TE_02_08001442, TE_02_08204540, TE_02_08305040, TE_02_08407196, TE_02_08600823, TE_02_08701824, TE_02_11208477, TE_02_14301821, TE_02_15108097, TE_02_17710710, TE_02_17804952, TE_02_19600813, TE_02_19900722, TE_02_20201271, TE_02_20301653, TE_02_22804088, TE_02_23704984, TE_02_24003064, TE_02_24200241, TE_02_29401864, TE_02_29502316, TE_02_30504597, TE_02_32308376, TE_02_32401529, TE_02_35304400, TE_02_35500930, TE_02_35800987, TE_02_36103302, TE_02_42407423, TE_02_42603558, TE_02_42702270, TE_03_00400649, TE_03_00500752, TE_03_00700794, TE_03_00800683, TE_03_00900633, TE_03_01000732, TE_03_01300472, TE_03_01400778, TE_03_01500648, TE_03_01600525	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HERVH_859	moderately	238	NA	NA	NA	NA	TxWk, Het, ZNF-Rpts	cont_Het_Rpts	NA	NA
